Surface reelle bati,Nombre pieces principales,Type local,Surface terrain,Nombre de lots,Valeur fonciere,No voie,Type de voie,Voie,Code postal,Commune,prix_m2,adresse_complete,latitude,longitude
71.0,4.0,Maison,70.0,0,"396000,00",54.0,RUE,DE NAVARRE,33000.0,BORDEAUX,5577.4647887323945,"54 RUE DE NAVARRE, 33000 BORDEAUX",44.8305825,-0.5809537
65.0,3.0,Maison,45.0,0,"312500,00",15.0,RUE,POUDENSAN,33000.0,BORDEAUX,4807.692307692308,"15 RUE POUDENSAN, 33000 BORDEAUX",44.848766,-0.586771
162.0,7.0,Maison,111.0,0,"505000,00",103.0,RUE,DE BRACH,33000.0,BORDEAUX,3117.283950617284,"103 RUE DE BRACH, 33000 BORDEAUX",44.8385315,-0.5978953
92.0,4.0,Maison,121.0,0,"530000,00",115.0,RUE,PELLEPORT,33800.0,BORDEAUX,5760.869565217391,"115 RUE PELLEPORT, 33800 BORDEAUX",44.8218786,-0.563894
82.0,3.0,Maison,44.0,0,"405000,00",20.0,RUE,AUGUSTE BRUTAILS,33000.0,BORDEAUX,4939.024390243902,"20 RUE AUGUSTE BRUTAILS, 33000 BORDEAUX",44.8517091,-0.5822922
129.0,4.0,Maison,175.0,0,"700000,00",146.0,CRS,BALGUERIE STUTTENBERG,33300.0,BORDEAUX,5426.356589147287,"146 CRS BALGUERIE STUTTENBERG, 33300 BORDEAUX",44.8595256,-0.5650431
90.0,3.0,Maison,185.0,0,"327600,00",33.0,RUE,SAUVAGEON,33300.0,BORDEAUX,3640.0,"33 RUE SAUVAGEON, 33300 BORDEAUX",44.8720938,-0.5508211
115.0,4.0,Maison,362.0,0,"540000,00",9.0,RUE,MURAT,33200.0,BORDEAUX,4695.652173913043,"9 RUE MURAT, 33200 BORDEAUX",44.8438977,-0.6259576
67.0,5.0,Maison,209.0,0,"342400,00",35.0,RUE,AUDUBERT,33300.0,BORDEAUX,5110.44776119403,"35 RUE AUDUBERT, 33300 BORDEAUX",44.8723718,-0.5489321
56.0,3.0,Maison,591.0,0,"300000,00",22.0,RUE,CAILLOU,33200.0,BORDEAUX,5357.142857142857,"22 RUE CAILLOU, 33200 BORDEAUX",44.8607093,-0.6304321
