Surface reelle bati,Nombre pieces principales,Type local,Nombre de lots,Valeur fonciere,No voie,Type de voie,Voie,Code postal,Commune,prix_m2,adresse_complete,latitude,longitude
63.0,3.0,Appartement,2,"185000,00",22.0,RUE,DE TREVISE,59000.0,LILLE,2936.5079365079364,"22 RUE DE TREVISE, 59000 LILLE",50.6204951,3.0707049
38.0,2.0,Appartement,1,"120350,00",132.0,RUE,ROGER SALENGRO,59260.0,LILLE,3167.1052631578946,"132 RUE ROGER SALENGRO, 59260 LILLE",50.6278064,3.1065803
50.0,2.0,Appartement,2,"180000,00",42.0,AV,CHARLES ST VENANT,59800.0,LILLE,3600.0,"42 AV CHARLES ST VENANT, 59800 LILLE",50.6342038,3.0701331
80.0,3.0,Appartement,1,"338600,00",80.0,RUE,DE JEMMAPES,59800.0,LILLE,4232.5,"80 RUE DE JEMMAPES, 59800 LILLE",50.6443759,3.0566285
92.0,4.0,Appartement,1,"367000,00",2.0,RUE,DU PALAIS RIHOUR,59800.0,LILLE,3989.130434782609,"2 RUE DU PALAIS RIHOUR, 59800 LILLE",50.6351424,3.0616589
70.0,4.0,Appartement,2,"170000,00",28.0,RUE,DU BUISSON,59800.0,LILLE,2428.5714285714284,"28 RUE DU BUISSON, 59800 LILLE",50.6494173,3.0870997
47.0,2.0,Appartement,1,"160000,00",209.0,RUE,D ARRAS,59000.0,LILLE,3404.255319148936,"209 RUE D ARRAS, 59000 LILLE",50.6197223,3.0650401
17.0,1.0,Appartement,1,"130000,00",151.0,RUE,NATIONALE,59800.0,LILLE,7647.058823529412,"151 RUE NATIONALE, 59800 LILLE",50.6330758,3.0535247
16.0,1.0,Appartement,1,"89800,00",9.0,RUE,DELEZENNE,59000.0,LILLE,5612.5,"9 RUE DELEZENNE, 59000 LILLE",50.6231367,3.0395386
76.0,2.0,Appartement,1,"461000,00",108.0,RUE,JACQUEMARS GIELEE,59800.0,LILLE,6065.789473684211,"108 RUE JACQUEMARS GIELEE, 59800 LILLE",50.6354191,3.0523111
50.0,3.0,Appartement,1,"100000,00",66.0,RUE,PRINCESSE,59800.0,LILLE,2000.0,"66 RUE PRINCESSE, 59800 LILLE",50.6452521,3.0559332
20.0,2.0,Appartement,1,"105000,00",96.0,RUE,DU MARCHE,59000.0,LILLE,5250.0,"96 RUE DU MARCHE, 59000 LILLE",50.6239466,3.0533773
