Surface reelle bati,Nombre pieces principales,Type local,Nombre de lots,Valeur fonciere,No voie,Type de voie,Voie,Code postal,Commune,prix_m2,adresse_complete,latitude,longitude
40.0,1.0,Appartement,1,"158500,00",2.0,RUE,DU SOLEIL,33000.0,BORDEAUX,3962.5,"2 RUE DU SOLEIL, 33000 BORDEAUX",44.8365472,-0.567476
20.0,1.0,Appartement,1,"116000,00",58.0,RUE,LEYTEIRE,33000.0,BORDEAUX,5800.0,"58 RUE LEYTEIRE, 33000 BORDEAUX",44.8325205,-0.569659
71.0,1.0,Appartement,1,"299000,00",72.0,RUE,FONFREDE,33800.0,BORDEAUX,4211.267605633803,"72 RUE FONFREDE, 33800 BORDEAUX",44.8256642,-0.568851
108.0,4.0,Appartement,2,"680000,00",44.0,RUE,BOUFFARD,33000.0,BORDEAUX,6296.2962962962965,"44 RUE BOUFFARD, 33000 BORDEAUX",44.839187,-0.5796453
19.0,1.0,Appartement,1,"62000,00",120.0,RUE,ETCHENIQUE,33200.0,BORDEAUX,3263.157894736842,"120 RUE ETCHENIQUE, 33200 BORDEAUX",44.8409066,-0.6127927
33.0,2.0,Appartement,1,"152000,00",13.0,RUE,RATEAU,33800.0,BORDEAUX,4606.060606060606,"13 RUE RATEAU, 33800 BORDEAUX",44.8252653,-0.5692256
49.0,2.0,Appartement,1,"184000,00",97.0,RUE,MATHIEU,33000.0,BORDEAUX,3755.1020408163267,"97 RUE MATHIEU, 33000 BORDEAUX",44.8295047,-0.5918992
58.0,3.0,Appartement,1,"270000,00",8.0,RUE,DES CORDELIERS,33000.0,BORDEAUX,4655.172413793103,"8 RUE DES CORDELIERS, 33000 BORDEAUX",44.8337146,-0.5684375
56.0,3.0,Appartement,2,"179000,00",46.0,RUE,DE LEYBARDIE,33300.0,BORDEAUX,3196.4285714285716,"46 RUE DE LEYBARDIE, 33300 BORDEAUX",44.8618322,-0.5653894
20.0,1.0,Appartement,1,"110000,00",3.0,RUE,MAZARIN,33000.0,BORDEAUX,5500.0,"3 RUE MAZARIN, 33000 BORDEAUX",44.8306542,-0.5781045
88.0,2.0,Appartement,1,"550000,00",13.0,RUE,CASTILLON,33000.0,BORDEAUX,6250.0,"13 RUE CASTILLON, 33000 BORDEAUX",44.8403469,-0.5760656
23.0,1.0,Appartement,1,"135000,00",12.0,RUE,CASSIGNOL,33000.0,BORDEAUX,5869.565217391304,"12 RUE CASSIGNOL, 33000 BORDEAUX",44.8516782,-0.5852517
52.0,2.0,Appartement,1,"310000,00",43.0,RUE,DES BAHUTIERS,33000.0,BORDEAUX,5961.538461538462,"43 RUE DES BAHUTIERS, 33000 BORDEAUX",44.8384585,-0.5707991
44.0,2.0,Appartement,1,"226300,00",5.0,RUE,VILARIS,33800.0,BORDEAUX,5143.181818181818,"5 RUE VILARIS, 33800 BORDEAUX",44.8261185,-0.5641416
112.0,2.0,Appartement,1,"560000,00",48.0,RUE,PEYRONNET,33800.0,BORDEAUX,5000.0,"48 RUE PEYRONNET, 33800 BORDEAUX",44.8286775,-0.5603781
40.0,3.0,Appartement,1,"325000,00",109.0,RUE,JUDAIQUE,33000.0,BORDEAUX,8125.0,"109 RUE JUDAIQUE, 33000 BORDEAUX",44.8412112,-0.5871502
90.0,3.0,Appartement,1,"599000,00",5.0,RUE,CALVE,33000.0,BORDEAUX,6655.555555555556,"5 RUE CALVE, 33000 BORDEAUX",44.8496146,-0.5909584
67.0,3.0,Appartement,1,"254000,00",60.0,AV,EMILE COUNORD,33300.0,BORDEAUX,3791.044776119403,"60 AV EMILE COUNORD, 33300 BORDEAUX",44.8583718,-0.5747654
17.0,1.0,Appartement,1,"112014,00",10.0,RUE,GUIRAUDE,33000.0,BORDEAUX,6589.058823529412,"10 RUE GUIRAUDE, 33000 BORDEAUX",44.8395802,-0.5746634
