Surface reelle bati,Nombre pieces principales,Type local,Surface terrain,Nombre de lots,Valeur fonciere,No voie,Type de voie,Voie,Code postal,Commune,prix_m2,adresse_complete,latitude,longitude
82.0,5.0,Maison,70.0,0,"219900,00",8.0,RUE,CHEVALIER DE LA BARRE,59260.0,LILLE,2681.7073170731705,"8 RUE CHEVALIER DE LA BARRE, 59260 LILLE",50.560377,2.9045799
165.0,4.0,Maison,121.0,0,"305000,00",81.0,CHE,DES MARGUERITOIS,59000.0,LILLE,1848.4848484848485,"81 CHE DES MARGUERITOIS, 59000 LILLE",50.6072872,3.0707877
58.0,3.0,Maison,35.0,0,"180000,00",10.0,RLE,SAINT SAUVEUR,59260.0,LILLE,3103.448275862069,"10 RLE SAINT SAUVEUR, 59260 LILLE",50.6267589,3.1083452
96.0,5.0,Maison,99.0,0,"230000,00",33.0,RUE,MALESHERBES,59800.0,LILLE,2395.8333333333335,"33 RUE MALESHERBES, 59800 LILLE",50.6241081,3.0914969
60.0,5.0,Maison,32.0,0,"115000,00",48.0,RUE,PAUL BERT,59800.0,LILLE,1916.6666666666667,"48 RUE PAUL BERT, 59800 LILLE",50.632776,3.0962744
80.0,5.0,Maison,92.0,0,"237000,00",31.0,RUE,DE L EGLISE LOMME,59160.0,LILLE,2962.5,"31 RUE DE L EGLISE LOMME, 59160 LILLE",50.6312775,3.0062856
64.0,4.0,Maison,127.0,0,"226900,00",28.0,RUE,EDOUARD VAILLANT HELLEMMES,59260.0,LILLE,3545.3125,"28 RUE EDOUARD VAILLANT HELLEMMES, 59260 LILLE",50.6318983,3.1118329
180.0,7.0,Maison,215.0,0,"802920,00",21.0,RUE,COLSON,59800.0,LILLE,4460.666666666667,"21 RUE COLSON, 59800 LILLE",50.6329951,3.0493314
160.0,6.0,Maison,174.0,0,"640270,00",75.0,RUE,ROLAND,59800.0,LILLE,4001.6875,"75 RUE ROLAND, 59800 LILLE",50.6304031,3.0387961
138.0,7.0,Maison,123.0,0,"303000,00",26.0,PL,EDMOND DOMPSIN,59160.0,LILLE,2195.6521739130435,"26 PL EDMOND DOMPSIN, 59160 LILLE",50.6419733,2.9905422
54.0,3.0,Maison,33.0,0,"138650,00",42.0,RUE,PAUL BERT,59800.0,LILLE,2567.5925925925926,"42 RUE PAUL BERT, 59800 LILLE",50.6328985,3.0962083
71.0,3.0,Maison,73.0,0,"185000,00",17.0,RUE,KLEBER HELLEMMES,59260.0,LILLE,2605.6338028169016,"17 RUE KLEBER HELLEMMES, 59260 LILLE",50.6265305,3.1132317
72.0,4.0,Maison,135.0,0,"259900,00",16.0,RUE,DU HUIT MAI 1945 HELLEMMES,59260.0,LILLE,3609.722222222222,"16 RUE DU HUIT MAI 1945 HELLEMMES, 59260 LILLE",50.6301321,3.1120659
73.0,3.0,Maison,90.0,0,"286000,00",63.0,RUE,BERNOS,59800.0,LILLE,3917.8082191780823,"63 RUE BERNOS, 59800 LILLE",50.6333493,3.0892038
82.0,5.0,Maison,146.0,0,"191500,00",61.0,RUE,D EMMERIN,59000.0,LILLE,2335.3658536585367,"61 RUE D EMMERIN, 59000 LILLE",50.6162979,3.0289245
211.0,6.0,Maison,318.0,0,"410000,00",2.0,RUE,VAN GOGH,59160.0,LILLE,1943.1279620853081,"2 RUE VAN GOGH, 59160 LILLE",50.6468939,2.9756694
80.0,4.0,Maison,182.0,0,"220000,00",115.0,RUE,DE CONDE,59000.0,LILLE,2750.0,"115 RUE DE CONDE, 59000 LILLE",50.6194644,3.0560323
119.0,5.0,Maison,238.0,0,"375000,00",9.0,RUE,RONSARD,59160.0,LILLE,3151.2605042016808,"9 RUE RONSARD, 59160 LILLE",50.6438125,2.9783498
83.0,5.0,Maison,256.0,0,"306250,00",36.0,RUE,RABELAIS LOMME,59160.0,LILLE,3689.759036144578,"36 RUE RABELAIS LOMME, 59160 LILLE",50.6425869,2.981489
65.0,4.0,Maison,47.0,0,"203400,00",54.0,RUE,DU DOCTEUR ROUX,59260.0,LILLE,3129.230769230769,"54 RUE DU DOCTEUR ROUX, 59260 LILLE",50.6272665,3.1115671
102.0,6.0,Maison,115.0,0,"236550,00",1.0,RUE,DU PARADIS,59160.0,LILLE,2319.1176470588234,"1 RUE DU PARADIS, 59160 LILLE",50.6310363,3.0027001
93.0,4.0,Maison,131.0,0,"284800,00",123.0,RUE,FILBERTVILLE,59000.0,LILLE,3062.3655913978496,"123 RUE FILBERTVILLE, 59000 LILLE",50.610692,3.0679956
123.0,4.0,Maison,153.0,0,"250000,00",93.0,RUE,MAURICE BERTEAUX,59260.0,LILLE,2032.520325203252,"93 RUE MAURICE BERTEAUX, 59260 LILLE",50.6221575,3.0964765
84.0,5.0,Maison,256.0,0,"251900,00",4.0,RUE,PROSPER FRANCK,59160.0,LILLE,2998.809523809524,"4 RUE PROSPER FRANCK, 59160 LILLE",50.6464303,3.002421
78.0,4.0,Maison,230.0,0,"220000,00",36.0,RUE,ERNEST COUTEAUX LOMME,59160.0,LILLE,2820.5128205128203,"36 RUE ERNEST COUTEAUX LOMME, 59160 LILLE",50.6374602,3.0115097
106.0,5.0,Maison,91.0,0,"231410,00",18.0,RUE,VERLAINE,59000.0,LILLE,2183.1132075471696,"18 RUE VERLAINE, 59000 LILLE",50.6111792,3.0448998
56.0,3.0,Maison,144.0,0,"300000,00",27.0,RUE,DELVAU,59800.0,LILLE,5357.142857142857,"27 RUE DELVAU, 59800 LILLE",50.6353192,3.1000888
75.0,4.0,Maison,60.0,0,"245000,00",5.0,AV,ALBERT,59000.0,LILLE,3266.6666666666665,"5 AV ALBERT, 59000 LILLE",50.6237917,3.0451078
137.0,5.0,Maison,716.0,0,"488250,00",3.0,RUE,DES AULNES LOMME,59160.0,LILLE,3563.868613138686,"3 RUE DES AULNES LOMME, 59160 LILLE",50.6510401,3.0021972
87.0,4.0,Maison,100.0,0,"222000,00",3.0,RUE,LAMARTINE,59000.0,LILLE,2551.7241379310344,"3 RUE LAMARTINE, 59000 LILLE",50.6223469,3.06418
70.0,4.0,Maison,133.0,0,"290000,00",171.0,RUE,MATTEOTTI,59800.0,LILLE,4142.857142857143,"171 RUE MATTEOTTI, 59800 LILLE",50.6245746,3.0977333
62.0,3.0,Maison,239.0,0,"220000,00",1.0,RUE,ALBERT DEBERDT,59160.0,LILLE,3548.3870967741937,"1 RUE ALBERT DEBERDT, 59160 LILLE",50.6417919,2.9940607
158.0,7.0,Maison,136.0,0,"332000,00",30.0,RUE,DE MULHOUSE,59000.0,LILLE,2101.26582278481,"30 RUE DE MULHOUSE, 59000 LILLE",50.6184333,3.0713947
72.0,5.0,Maison,211.0,0,"244000,00",16.0,RUE,DENIS CORDONNIER HELLEMMES,59260.0,LILLE,3388.8888888888887,"16 RUE DENIS CORDONNIER HELLEMMES, 59260 LILLE",50.6286257,3.1164227
83.0,5.0,Maison,86.0,0,"230000,00",12.0,RUE,LOUISE MICHEL,59260.0,LILLE,2771.0843373493976,"12 RUE LOUISE MICHEL, 59260 LILLE",50.6301549,3.1135306
89.0,5.0,Maison,164.0,0,"170000,00",91.0,RUE,MATTEOTTI,59800.0,LILLE,1910.112359550562,"91 RUE MATTEOTTI, 59800 LILLE",50.6238586,3.0945754
75.0,4.0,Maison,178.0,0,"355000,00",84.0,RUE,DU BAS LIEVIN,59000.0,LILLE,4733.333333333333,"84 RUE DU BAS LIEVIN, 59000 LILLE",50.6078969,3.0723818
170.0,8.0,Maison,254.0,0,"920000,00",251.0,RUE,DE SOLFERINO,59000.0,LILLE,5411.764705882353,"251 RUE DE SOLFERINO, 59000 LILLE",50.6265964,3.0638011
92.0,5.0,Maison,127.0,0,"270000,00",5.0,PL,DE LA REPUBLIQUE HELLEMMES,59260.0,LILLE,2934.782608695652,"5 PL DE LA REPUBLIQUE HELLEMMES, 59260 LILLE",50.6268195,3.1144131
45.0,3.0,Maison,80.0,0,"266100,00",38.0,RUE,DUHEM,59000.0,LILLE,5913.333333333333,"38 RUE DUHEM, 59000 LILLE",50.6224935,3.0417409
66.0,3.0,Maison,68.0,0,"279600,00",3.0,RUE,COPERNIC,59000.0,LILLE,4236.363636363636,"3 RUE COPERNIC, 59000 LILLE",50.6581073,3.0862
88.0,5.0,Maison,183.0,0,"415000,00",11.0,RUE,DU COEUR JOYEUX,59160.0,LILLE,4715.909090909091,"11 RUE DU COEUR JOYEUX, 59160 LILLE",50.6410964,3.016788
88.0,5.0,Maison,82.0,0,"217000,00",12.0,RUE,HELMAN,59800.0,LILLE,2465.909090909091,"12 RUE HELMAN, 59800 LILLE",50.6496591,3.0944475
91.0,4.0,Maison,121.0,0,"212000,00",2.0,RUE,AMBROISE PARE,59800.0,LILLE,2329.6703296703295,"2 RUE AMBROISE PARE, 59800 LILLE",50.6289706,3.0969004
90.0,5.0,Maison,92.0,0,"258700,00",166.0,RUE,DE LANNOY,59800.0,LILLE,2874.4444444444443,"166 RUE DE LANNOY, 59800 LILLE",50.6343579,3.1017265
88.0,3.0,Maison,117.0,0,"120000,00",33.0,RUE,DU PARADIS,59160.0,LILLE,1363.6363636363637,"33 RUE DU PARADIS, 59160 LILLE",50.6306037,3.0033267
65.0,2.0,Maison,132.0,0,"170000,00",13.0,RUE,DU FORT DEBOUT,59160.0,LILLE,2615.3846153846152,"13 RUE DU FORT DEBOUT, 59160 LILLE",50.6470827,3.0005012
75.0,3.0,Maison,120.0,0,"280500,00",9.0,RUE,SCHUBERT,59800.0,LILLE,3740.0,"9 RUE SCHUBERT, 59800 LILLE",50.6298746,3.087009
120.0,6.0,Maison,191.0,0,"225000,00",24.0,RUE,DU PRIEURE,59800.0,LILLE,1875.0,"24 RUE DU PRIEURE, 59800 LILLE",50.6331042,3.0882333
73.0,2.0,Maison,139.0,0,"244590,00",52.0,RUE,GUTENBERG,59800.0,LILLE,3350.5479452054797,"52 RUE GUTENBERG, 59800 LILLE",50.6366736,3.0951765
82.0,5.0,Maison,216.0,0,"145000,00",711.0,AV,DE DUNKERQUE LOMME,59160.0,LILLE,1768.2926829268292,"711 AV DE DUNKERQUE LOMME, 59160 LILLE",50.6459162,2.9913046
50.0,4.0,Maison,84.0,0,"162200,00",49.0,RUE,PLINE,59000.0,LILLE,3244.0,"49 RUE PLINE, 59000 LILLE",50.6117904,3.0644445
140.0,5.0,Maison,200.0,0,"210000,00",70.0,RUE,FENELON,59000.0,LILLE,1500.0,"70 RUE FENELON, 59000 LILLE",50.6180687,3.0689624
40.0,2.0,Maison,71.0,0,"147311,00",57.0,RUE,GUSTAVE NADAUD,59000.0,LILLE,3682.775,"57 RUE GUSTAVE NADAUD, 59000 LILLE",50.6132772,3.04364
