Surface reelle bati,Nombre pieces principales,Type local,Nombre de lots,Valeur fonciere,No voie,Type de voie,Voie,Code postal,Commune,prix_m2,adresse_complete,latitude,longitude
92.0,4.0,Appartement,1,"367000,00",2.0,RUE,DU PALAIS RIHOUR,59800.0,LILLE,3989.1304347826085,"2 RUE DU PALAIS RIHOUR, 59800 LILLE",50.6351424,3.0616589
70.0,4.0,Appartement,2,"170000,00",28.0,RUE,DU BUISSON,59800.0,LILLE,2428.5714285714284,"28 RUE DU BUISSON, 59800 LILLE",,
105.0,4.0,Appartement,2,"355300,00",31.0,AV,DU PRESIDENT KENNEDY,59800.0,LILLE,3383.809523809524,"31 AV DU PRESIDENT KENNEDY, 59800 LILLE",50.6436645,3.1084143
120.0,4.0,Appartement,1,"472500,00",21.0,RUE,NICOLAS LEBLANC,59000.0,LILLE,3937.5,"21 RUE NICOLAS LEBLANC, 59000 LILLE",50.6295023,3.0614455
71.0,4.0,Appartement,1,"229900,00",250.0,RUE,MADELEINE REBERIOUX,59000.0,LILLE,3238.0281690140846,"250 RUE MADELEINE REBERIOUX, 59000 LILLE",50.6267445,3.0801349
76.0,4.0,Appartement,2,"205000,00",53.0,RUE,BONTE POLLET,59000.0,LILLE,2697.3684210526317,"53 RUE BONTE POLLET, 59000 LILLE",,
91.0,4.0,Appartement,1,"212770,00",601.0,RUE,DE L ASIE,59000.0,LILLE,2338.131868131868,"601 RUE DE L ASIE, 59000 LILLE",50.6040513,3.0526141
146.0,4.0,Appartement,1,"558000,00",8.0,RUE,ALPHONSE MERCIER,59800.0,LILLE,3821.917808219178,"8 RUE ALPHONSE MERCIER, 59800 LILLE",50.6317121,3.0513532
84.0,4.0,Appartement,1,"225000,00",579.0,AV,DU PRESIDENT HOOVER,59800.0,LILLE,2678.5714285714284,"579 AV DU PRESIDENT HOOVER, 59800 LILLE",,
100.0,4.0,Appartement,1,"389200,00",3.0,RUE,DESCHODT,59800.0,LILLE,3892.0,"3 RUE DESCHODT, 59800 LILLE",50.62556,3.044684
85.0,4.0,Appartement,1,"368587,00",84.0,RUE,BOUCHER DE PERTHES,59800.0,LILLE,4336.317647058823,"84 RUE BOUCHER DE PERTHES, 59800 LILLE",50.6331476,3.0544595
116.0,4.0,Appartement,0,"170000,00",35.0,RUE,VANTROYEN,59800.0,LILLE,1465.5172413793102,"35 RUE VANTROYEN, 59800 LILLE",50.6383345,3.0843319
71.0,4.0,Appartement,1,"160000,00",57.0,RUE,VICTOR HUGO LOMME,59160.0,LILLE,2253.521126760563,"57 RUE VICTOR HUGO LOMME, 59160 LILLE",,
